N_CONSEC,lengthSMMA,length1,SL_PCT,MTPS,trades,win_rate,avg_r,expectancy
5,3,11,0.0009,2,1080,0.426,0.278,300.4651713
5,3,11,0.0009,2,1080,0.426,0.278,300.4651713
5,3,11,0.0009,2,1080,0.426,0.278,300.4651713
5,3,11,0.0009,4,1122,0.424,0.273,306.4651713
5,3,11,0.0009,4,1122,0.424,0.273,306.4651713
5,3,11,0.0009,3,1120,0.424,0.273,305.4651713
5,3,13,0.0009,2,1026,0.424,0.272,279.5265342
5,3,12,0.0009,4,1090,0.424,0.272,296.4651713
5,3,12,0.0009,3,1088,0.424,0.272,295.4651713
5,3,13,0.0009,4,1049,0.423,0.270,283.5265342
5,4,13,0.0009,3,1136,0.421,0.260,295.708922
4,2,11,0.0009,3,1175,0.420,0.259,304.5382033
4,2,11,0.0009,3,1175,0.420,0.259,304.5382033
4,2,11,0.0009,3,1175,0.420,0.259,304.5382033
4,3,11,0.0009,4,1301,0.418,0.255,331.5954455
4,3,11,0.0009,4,1301,0.418,0.255,331.5954455
4,3,11,0.0009,2,1208,0.417,0.252,304.5954455
4,2,12,0.0009,4,1142,0.416,0.248,283.5480539
4,3,13,0.0009,4,1227,0.416,0.248,303.7728787
5,4,11,0.0009,2,1160,0.416,0.247,286.7075448
5,4,11,0.0009,2,1160,0.416,0.247,286.7075448
4,3,12,0.0009,4,1275,0.415,0.245,312.6354716
4,3,12,0.0009,4,1275,0.415,0.245,312.6354716
5,4,12,0.0009,4,1180,0.415,0.244,287.708922
4,3,12,0.0009,3,1272,0.414,0.243,309.6354716
4,3,13,0.0009,2,1159,0.415,0.243,281.7728787
5,4,12,0.0009,2,1129,0.415,0.242,272.708922
4,3,12,0.0009,2,1187,0.414,0.241,286.6354716
4,3,12,0.0009,2,1187,0.414,0.241,286.6354716
5,3,10,0.0009,4,1167,0.413,0.239,
5,3,10,0.0009,3,1165,0.413,0.239,
5,3,10,0.0009,3,1165,0.413,0.239,
5,3,13,0.0011,3,1042,0.412,0.236,
5,2,9,0.0009,3,1048,0.411,0.234,
5,2,9,0.0009,4,1048,0.411,0.234,
5,2,9,0.0009,3,1048,0.411,0.234,
5,3,12,0.0011,2,1045,0.411,0.232,
4,3,11,0.0011,4,1282,0.410,0.231,
5,3,9,0.0009,2,1168,0.411,0.231,
4,2,12,0.0011,4,1135,0.410,0.228,
4,2,12,0.0011,3,1133,0.410,0.228,
4,2,13,0.0009,3,1099,0.409,0.226,
4,2,13,0.0009,4,1100,0.409,0.225,
4,3,11,0.0011,2,1194,0.408,0.224,
4,2,10,0.0011,3,1218,0.408,0.223,
6,4,13,0.0009,4,1013,0.408,0.220,
6,4,13,0.0009,4,1013,0.408,0.220,
5,2,9,0.0011,4,1036,0.407,0.220,
4,2,13,0.0011,2,1062,0.408,0.219,
4,2,13,0.0011,2,1062,0.408,0.219,
5,3,9,0.0009,4,1243,0.406,0.217,
4,3,13,0.0011,4,1221,0.406,0.217,
4,3,13,0.0011,4,1221,0.406,0.217,
4,2,13,0.0009,2,1066,0.406,0.216,
4,4,13,0.0009,4,1304,0.406,0.215,
4,2,10,0.0009,3,1230,0.405,0.215,
4,2,10,0.0009,3,1230,0.405,0.215,
4,2,10,0.0009,4,1233,0.405,0.215,
4,2,10,0.0009,4,1233,0.405,0.215,
4,2,10,0.0009,4,1233,0.405,0.215,
4,2,10,0.0009,4,1233,0.405,0.215,
4,4,13,0.0009,3,1301,0.406,0.214,
4,4,13,0.0009,2,1215,0.406,0.213,
4,4,13,0.0009,2,1215,0.406,0.213,
7,4,9,0.0009,3,1032,0.405,0.212,
4,2,10,0.0011,2,1148,0.404,0.212,
6,4,11,0.0009,4,1086,0.403,0.207,
6,4,11,0.0009,4,1086,0.403,0.207,
6,4,11,0.0009,3,1085,0.403,0.206,
4,2,9,0.0011,3,1280,0.402,0.204,
4,4,11,0.0009,3,1398,0.401,0.202,
5,3,10,0.0011,2,1104,0.400,0.201,
4,4,12,0.0009,3,1360,0.401,0.201,
4,2,9,0.0009,4,1305,0.400,0.199,
5,4,13,0.0011,4,1131,0.401,0.199,
5,4,9,0.0009,2,1251,0.400,0.197,
6,4,11,0.0009,2,1050,0.400,0.197,